account_age_days,risk_rating,age,watchlist_match,total_transactions,total_amount,avg_transaction_amount,max_transaction_amount,international_transactions,country_Australia,country_Brazil,country_Canada,country_France,country_Germany,country_India,country_Singapore,country_UAE,country_UK,country_USA,nationality_Australia,nationality_Brazil,nationality_Canada,nationality_France,nationality_Germany,nationality_India,nationality_Singapore,nationality_UAE,nationality_UK,nationality_USA,customer_type_Business,customer_type_Individual
0.2931778307363399,2,-0.0859049581107443,0,-0.8897945234552431,-0.41168043380733316,-0.08663755998636188,-0.24494531003950953,-0.7011657571186702,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2713846818738449,0,1.3951204355359565,0,0.44489726172762156,-0.055189029954929913,-0.17806899682418104,-0.2355441772594088,0.697715184130256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5575382017205182,2,-1.6766359364720156,0,-0.8897945234552431,-0.2407687724319316,0.17929543434667647,-0.23977918938548048,-0.7011657571186702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.4341660986692408,1,0.13350621131839654,0,-0.44489726172762156,-0.36625419481168753,-0.2180142256118347,-0.2980284563710803,-0.23487211003569483,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.8541145318927326,0,-0.14075775046802952,0,0.44489726172762156,-0.06286754794178998,-0.18404275912879264,-0.23256780334809882,0.23142153704728058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9261266759601072,2,1.285414850821386,0,1.3346917851828648,7.370253729692058,3.993056297936303,4.324182594397563,1.6303024782962068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.6321994948545213,0,-1.292666389971019,0,0.8897945234552431,0.07224244363446126,-0.18539510832873637,-0.26898700823809196,0.697715184130256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.5120568475727025,1,1.559678812607812,0,0.8897945234552431,0.0679627232422154,-0.18824901087279045,-0.2573725021042014,0.23142153704728058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7277355428153576,0,0.46262296546210785,0,-1.7795890469104862,-0.7832963526080762,-0.3462006212779538,-0.40230213008906146,-2.1000466983675965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.472424964085223,2,1.1757092661068156,0,-0.44489726172762156,-0.39343691277426895,-0.24973579535608104,-0.336911198732083,-0.23487211003569483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
